"name","scie","lang","tags"
"Plantain, flower","Musa x paradisiaca","A. Koldil; B. Mocha; E. Banana flower; G. Kel phool; H. Kele-ka phool; Kan. Bale motho; Kh. Pashor kait; Mal. Vazhapoo; M. Lafu Tharo; Mar. Kel phool; O. Kadali bhanda; P. Kele-da-phool; Tam. Vazhapoo; Tel. Arati puvvu; U. Kela ka phool.","vegetarian eggetarian fishetarian veg"
"Plantain, green","Musa x paradisiaca","A. Kaskol/Purakol; B. Kela (kanch); E. Cooking banana; G. Kela; H. Kele (hara); Kan. Bale kayi; Kash. Kham kael; Kh. Kait im; Mal. Vazhakkai; M. Laphoi Ashangba; M. Laphoi Ashangba; Mar. Kel (hara); N. Bungo; O. Bantala kadali; P. Kela (hara); S. Rambhaa ; Tam. Vazhakkaai; Tel. Arati kayi; U. Kaccha kela.","vegetarian eggetarian fishetarian veg"
"Plantain, stem","Musa x paradisiaca","A. Posola; B. Thor; E. Banana stem; G. Kelanu thed; H. Kele-ka-tana; Kan. Bele Dindu; Kh. Nud kait; Mal. Unnipindi; M. Lafu; Mar. Kelicha khunt; O. Kadali manja; P. Kele da tana; Tam. Vazhai thandu; Tel. Arati doota.","vegetarian eggetarian fishetarian veg"
"Pumpkin, green, cylindrical","Cucurbita maxima","A. Rongalao; B. Kumro; G. Kohlu; H. Kaddu; Kan. Kumbala kash; Kash. Paarimal; Kh. Pathaw; Mal. Mathan; M. Mairen; Mar. Lal bhopla; N. Farsi; O. Kakharu; P. Kaddu; S. Kummaandah; Tam. Parangikkai; Tel. Gummadi kaya; U. Kaddu.","vegetarian eggetarian fishetarian veg"
"Calf, spleen","","","nonveg"
"Pumpkin, orange, round","Cucurbita maxima","A. Rongalao; B. Kumro; G. Kohlu; H. Kaddu; Kan. Kumbala kash; Kash. Paarimal; Kh. Pathaw saw; Mal. Mathan; M. Mairen; Mar. Lal bhopla; N. Farsi; O. Kakharu; P. Kaddu; S. Kummaandah; Tam. Parangikkai; Tel. Gummadi; U. Kaddu.","vegetarian eggetarian fishetarian veg"
"Red gram, tender, fresh","Cajanus cajan","E. Pigeon pea; H. Arhar ki fali; Tam. Thuvarai; Tel. Pacchi Kandulu; U. Hara tuvar.","vegetarian eggetarian fishetarian veg"
"Ridge gourd","Luffa acutangula","A. Jikaa; B. Jhinge; E. Luffa, Loofah; G. Turia; H. Torai; Kan. Heeraikai; Kash. Turrel ; Kh. Jingka; Kon. Gurdudde; Mal. Peechinga; M. Sebot; Mar. Dodka; O. Janhi; P. Kali tori; Tam. Peerkankai; Tel. Beera kaya; U. Turai.","vegetarian eggetarian fishetarian veg"
"Egg, quial, whole, boiled","","","eggetarian fishetarian nonveg"
"Ridge gourd, smooth skin","Luffa acutangula","A. Bhol; B. Jhinge; E. Luffa, Loofah; G. Turia; H. Torai; Kan. Heeraikai; Kash. Turrel; Kh. Jingka; Kon. Gurdudde; Mal. Peechinga; M. Sebot; Mar. Dodka; O. Janchi; P.  Kali tori; Tam. Peerkankai; Tel. Beera kaya; U. Turai.","vegetarian eggetarian fishetarian veg"
"Snake gourd, long, pale green","Trichosanthes anguina","A. Dhunduli; B. Chichinga; G. Pandola; H. Chachinda; Kan. Podavala; Kh. Jingka; Mal. Padavalanga; Mar. Padwal; N. Chichindo; O. Chachinda; P. Galartori; S. Cicinndda; Tam. Pudalangai; Tel. Potla kaya; U. Chichinda.","vegetarian eggetarian fishetarian veg"
"Snake gourd, long, dark green","Trichosanthes anguina","A. Dhunduli; B. Chichinga; G. Pandola; H. Chachinda; Kan. Podavala; Kh. Jingka; Mal. Padavalanga; Mar. Padwal; N. Chichindo; O. Chachinda; P. Galartori; S. Cicinndda; Tam. Pudalangai; Tel. Potla kaya; U. Chichinda.","vegetarian eggetarian fishetarian veg"
"Poultry, chicken, liver","","","nonveg"
"Snake gourd, short","Trichosanthes anguina","A. Dhunduli; B. Chichinga; G. Pandola; H. Chachinda; Kan. Podavala; Kh. Jingka; Mal. Padavalanga; Mar. Padwal; N. Chichindo; O. Chachinda; P. Galartori; S. Cicinndda; Tam. Pudalangai; Tel. Potla kaya; U. Chichinda.","vegetarian eggetarian fishetarian veg"
"Tinda, tender","Praecitrullus fistulosus","E. Indian squash, Round melon, Indian round gourd, Apple gourd, Indian baby pumpkin; G. Tadabuch; H. Tinda; Kan. Thondekkai; Kash. Tinda; Mar. Dhemase; N. Tinda; P. Tinda; U. Tinde.","vegetarian eggetarian fishetarian veg"
"Tomato, green","Lycopersicon esculentum","A. Kesa bilahi; B. Kacha Tomato; H. Tamator ; Kan. Goore Hannu; Kash. Rowagun; Kh. Soh saw jyrngam; Mal. Takkali; M. Khamen Ashinba; Mar. Hara velvangi; O. Bilati Baigan; P. Kaccha tamator; Tam. Thakkali kai; Tel. Ramamulagakaya; U. Kaccha tamatar.","vegetarian eggetarian fishetarian veg"
"Poultry, chicken, gizzard","","","nonveg"
"Tomato, ripe, hybrid","Lycopersicon esculentum","A. Poka bilahi; B. Tomato; G. Tameta; H. Tamator; Kan. Goore Hannu; Kash. Rowangun; Kh. Soh saw dkhar; Mal. Takkali pazham; M. Khamen ashinba; Mar. Velvangi; O. Bilati baigan; P. Pakke tamator; S. Rakta phalam; N. Gholobheda; Tam. Takkali pazham; Tel. Ramamulagakaya; U. Pakka tamatar.","vegetarian eggetarian fishetarian veg"
"Tomato, ripe, local","Lycopersicon esculentum","A. Poka bilahi; B. Tomato; G. Tameta; H. Tamator; Kan. Goore Hannu; Kash. Rowangun; Mal. Takkali pazham; M. Khamen ashinba; Mar. Velvangi; N. Gholobheda; O. Bilati Baigan; P. Pakke tamator; S. Rakta phalam; Kh. Soh saw khasii; Tam. Takkali pazham; Tel. Ramamulagakaya; U. Pakka tamatar.","vegetarian eggetarian fishetarian veg"
"Zucchini, green","Cucurbita pepo","B. Dhudul; E. Courgette, Summer squash; H. Sabed kaddu; Kan. Dilpasand; Kash. Kaashiral; Mar. Kashi bhopla; O. Golu phubi kakuri; Tam. Seemai suraikayi.","vegetarian eggetarian fishetarian veg"
"Country hen, leg, with skin","","","nonveg"
"Apple, big","Malus domestica","A. Apel; B. Sev; G. Safarjan; H. Sev; Kan. Sebu; Kash. Tsoonth; Kh. Soh apple saw; Mal., Tam. Apple pazham; M. Sem; Mar. Safar chand; N. Shau; O. Sev; P. Seb; S. Seva; Tel. Sepu/Sema regu; U. Saib.","vegetarian eggetarian fishetarian veg"
"Apple, green","Malus domestica","A. Apel; B. Sev; G. Lila safarjan; H. Sev; Kan. Sebu; Kash. Tsoonth; Kh. Soh apple Jyrngam; Mal. Apple pazham; M. Sem; Mar. Safar chand; N. Shau; O. Sev; P. Seb; S. Seva; Tam. Apple pazham; Tel. Sepu/Sema regu; U. Saib.","vegetarian eggetarian fishetarian veg"
"Apple, small","Malus domestica","A. Apel; B. Sev; G. Safarjan; H. Sev; Kan. Sebu; Kash. Tsoonth; Kh. Soh apple saw; Mal. Apple pazham; M. Sem; Mar. Safar chand; N. Shau; O. Sev; P. Seb; S. Seva; Tam. Apple pazham; Tel. Sepu/Sema regu; U. Saib.","vegetarian eggetarian fishetarian veg"
"Apple, small, Kashmir","Malus sylvestris","A. Apel; B. Sev; G. Safarjan; H. Sev; Kan. Seb; Kash. Tsoonth; Kh. Soh apple saw; Mal. Apple pazham; M. Sem; Mar. Safar chand; N. Shau; O. Sev; P. Seb; S. Seva; Tam. Apple pazham; Tel. Sepu/Sema regu; U. Saib.","vegetarian eggetarian fishetarian veg"
"Apricot, dried","Prunus armeniaca","A. Malhoi; B. Suska khubani; G. Jardaloo (Suka velu); H. Khoomani; Kan. Jaldaru Hannu; Kash. Tser; Mal. Sheema bedhaam pazham; M. Malhei; Mar. Jardaalu; N. Khattu; P. Kharamani; Tel. Seema Badam/ Jallaru Pandu; Tam. Sakkarai badhami; U. Khubaani.","vegetarian eggetarian fishetarian veg"
"Apricot, processed","Prunus armeniaca","A. Malhoi; B. Suska khubani; G. Jardaloo; H. Khoomani; Kan. Jaldaru Hannu; Kash. Tser; Mal. Sheema bedhaam pazham; M. Malhei; Mar. Jardaalu; N. Khattu; P. Kharamani; Tam. Sakkarai badhami; Tel. Seema Badam/ Jallaru Pandu; U. Khubaani.","vegetarian eggetarian fishetarian veg"
"Country hen, thigh, with skin","","","nonveg"
"Bael fruit","Aegle marmelos","B. Bel; E. Indian bael, Bengal quince, Golden apple, Japanese bitter orange, Stone apple, Wood apple; G. Bila; H. Bel; Kh. Soh bel; Mal. Vilwa pazham; M. Heiri Khagok; P. Bhel; Mar. Bel; Tam. Vilwa pazham; Tel. Marendu pandu.","vegetarian eggetarian fishetarian veg"
"Banana, ripe, montham","Musa x paradisiaca","A. Poka kol; B. Kola(paka); G. Paka keda; H. Kela; Kan. Bale hannu; Kash. Kela; Kh. Kait syiem; Mal. Vazha pazham; M. Laphoi; Mar. Kele; N. Kera; O. Champa kadali; P. Kella;   S. Kadalii; Tam. Vazha pazham; Tel. Arati pandu; U. Kela.","vegetarian eggetarian fishetarian veg"
"Banana, ripe, poovam","Musa x paradisiaca","A. Poka kol; B. Kola (paka); G. Paka keda; H. Kela; Kan. Bale hannu; Kash. Kela; Kh. Kait mon/ ja; Mal. Vazha pazham; M. Laphoi; Mar. Kele; N. Kera; O. Champa kadali; P. Kella; S. Kadalii; Tam. Vazha pazham; Tel. Arati pandu; U. Kela.","vegetarian eggetarian fishetarian veg"
"Banana, ripe, red","Musa x paradisiaca","A. Poka kol; B. Kola (paka); G. Lal paka keda; H. Kela; Kan. Bale hannu; Kash. Kela; Kh. Kait saw; Mal. Vazha pazham; M. Laphoi; Mar. Kele; N. Kera; O. Champa kadali; P. Kella; S. Kadalii; Tam. Sevvazhaipazham; Tel. Arati pandu; U. Kela.","vegetarian eggetarian fishetarian veg"
"Banana, ripe, robusta","Musa x paradisiaca","A. Poka kol; B. Kola (paka); G. keda; H. Kela; Kan. Bale hannu; Kash. Kela; Kh. Kait jaji; Mal. Vazha pazham; M. Laphoi; Mar. Kele; N. Kera; O. Champa kadali; P. Kella; S. Kadalii; Tam. Vazhaipazham; Tel. Arati pandu; U. Kela.","vegetarian eggetarian fishetarian veg"
"Black berry","Rubus fruticosus","A. Kola jamu; B. Kalojam; E. Blackberry; G. Jambu; H. Kala Jamun; Kan. Neralai; Kh. Soh jam/ Soh jamun; Mal. Naval pazham; M. Jaam; Mar. Jambhool; O. Jamukoli; P. Jamun; Tam. Nagapazham; Tel. Neredupandu.","vegetarian eggetarian fishetarian veg"
"Cherries, red","Prunus cerasus","G. Cherry; H. Gilas; Kan. Kadugempu; Kash. Gilas; Kh. Soh sherri; Mal. Cherrypazham; Mar. Cherry phal; P. Cherry; Tam. Cherry pazham; Tel. Cherri pandu.","vegetarian eggetarian fishetarian veg"
"Currants, black","Ribes nigrum","A. kismis; E. Zante currants, Corinth raisins, Corinthian raisins; G. kadi draksh; H. Munakka; Kan. Nerale hannu; Kh. Soh kismis iong; Mal. Najavalppazham; Mar. Kala pravaha; Tam. Karunthiratcha; Tel. Nalla Kishmish; U. kala kishmish.","vegetarian eggetarian fishetarian veg"
"Custard apple","Annona squamosa","A. Sitaphal; B. Ata; E. Sugar apple, Sweetsop; G. Sitapad; H. Sharifa; Kan. Sharifa; O. Ata; Mal., Mar. Sitaphal; P. Sharifa; Tam. Seethapazham; Tel. Sitaphalam.","vegetarian eggetarian fishetarian veg"
"Dates, dry, pale brown","Phoenix dactylifera","A. Khajur; B. Kharjura; E. Date palm; G. Kharek; H. Chuhara; Kan. Kharjoora; Kash. Khajur; Kh. Soh khajur; Mal. Eethapazham; M. Thangtup; Mar. Khajur; N. Khajura; O. Khajuri; P. Chawara; S. Kharjura; Tam. Pericham pazham; Tel. Khajoora pandu; U. Khajur.","vegetarian eggetarian fishetarian veg"
"Dates, dry, dark brown","Phoenix dactylifera","A. Khajur; B. Kharjura; E. Date palm; G. Chuhara; H. Khajur; Kan. Kharjoora; Kash. Khajur; Kh. Soh khajur; Mal. Eethapazham; M. Thangtup; Mar. Khajur; N. Khajura; O. Khajuri; P. Chawara; S. Kharjura;   Tam. Pericham pazham; Tel. Khajoora pandu; U. Khajur.","vegetarian eggetarian fishetarian veg"
"Dates, processed","Phoenix dactylifera","A. Khajur; B. Kharjura; E. Date palm; G. Khajur; H. Khajur; Kan. Kharjoora; Kash. Khajur; Kh. Soh khajur im; Mal. Eethapazham; M. Thangtup; Mar. Khajur; N. Khajura; O. Khajuri; P. Khajur; S. Kharjura ; Tam. Pericham pazham; Tel. Khajoora pandu; U. Khajur.","vegetarian eggetarian fishetarian veg"
"Fig","Ficus carica","A. Dimoru; B. Dumura; E. Common fig; G. Anjir; H. Anjeer; Kan. Anjurada hannugalu; Kash. Anjeer; Kh. Soh Dimbur; Mal. Athipazham; M. Heirit; Mar. Anjir; N. Anjir; O. Dimiri; S. Anjiira; P. Anjeer; Tam. Athipazham; Tel. Atti pandu; U. Anjeer.","vegetarian eggetarian fishetarian veg"
"Goosberry","Emblica officinalis","A. Amlakhi; E. Indian Gooseberry; G. Amla; H. Amla; Kan. Betta nelli; Kh. Soh mylleng; Mal. Nellikka; M. Heikru; Mar. Amla; O. Aanla; P. Olle; Tam. Nellikkai; Tel. Usirikaya.","vegetarian eggetarian fishetarian veg"
"Country hen, breast, with skin","","","nonveg"
"Grapes, seeded, round, black","Vitis vinifera","A. Angoor; B. Angoor; G. Kadi Draksha; H. Angoor; Kan. Draksha; Kash. Dach; Kh. Soh grape iong; Mal. Mundiringa; M. Angoor; Mar. Draksha; N. Angoor; O. Angoor; P. Angoor; S. Draakssaa; Tam. Panneer dratchai; Tel. Draksha padu.","vegetarian eggetarian fishetarian veg"
"Grapes, seeded, round, green","Vitis vinifera","A. Angoor; B. Angoor; G. Lili Draksha; H. Angoor; Kan. Draksha; Kash. Dach; Kh. Soh grape jyrngam; Mal. Mundiringa; M. Angoor; Mar. Draksha; N. Angoor; O. Angoor; P. Angoor; S. Draakssaa; Tam. Dratchai; Tel. Draksha padu.","vegetarian eggetarian fishetarian veg"
"Grapes, seeded, round, red","Vitis vinifera","A. Angoor; B. Angoor; G. Lal Draksha; H. Angoor; Kan. Draksha; Kash. Dach; Kh. Soh grape saw; Mal. Mundiringa; M. Angoor; Mar. Draksha; N. Angoor; O. Angoor; P. Angoor; S. Draakssaa; Tam. Dratchai; Tel. Draksha padu.","vegetarian eggetarian fishetarian veg"
"Grapes, seedless, oval, black","Vitis vinifera","A. Angoor; B. Angoor; G. Draksha; H. Angoor; Kan. Draksha; Kash. Dach; Kh. Soh grape iong; Mal. Mundiringa; M. Angoor; Mar. Draksha; N. Angoor; O. Angoor; P. Angoor; S. Draakssaa; Tam. Dratchai; Tel. Draksha padu.","vegetarian eggetarian fishetarian veg"
"Grapes, seedless, round, green","Vitis vinifera","A. Angoor; B. Angoor; G. Draksha; H. Angoor; Kan. Draksha; Kash. Dach; Kh. Soh grape jyrngam; Mal. Mundiringa; M. Angoor; Mar. Draksha ; N. Angoor; O. Angoor; P. Angoor; S. Draakssaa; Tam. Dratchai; Tel. Draksha padu.","vegetarian eggetarian fishetarian veg"
"Grapes, seedless, round, black","Vitis vinifera","G. Kadi Draksha; H. Angoor; Kan. Draksha; Kash. Dach; Kh. Soh grape iong; Mal. Mundiringa; M. Angoor; Mar. Draksha; N. Angoor; O. Angoor; P. Angoor; S. Draakssaa; Tam. Dratchai; Tel. Draksha padu.","vegetarian eggetarian fishetarian veg"
"Guava, white flesh","Psidium guajava","A. Madhurium; B. Peyara; G. Jamphad; H. Amrud; Kan. Seebe; Kash. Amrodh; Kh. Soh pyriam; Mal. Perakka (nattu); M. Pungton; Mar. Peru; N. Aamba; O. Pijuli (deshi); P. Amrud; S. Peruka; Tam. Koiyapazham; Tel. Jama pandu; U. Amrood.","vegetarian eggetarian fishetarian veg"
"Guava, pink flesh","Psidium guajava","H. Amrud; Tel. Jama pandu; Tam. Koiyapazham; Kan. Seebe; Mal. Perakka; Mar. Peru; O. Pijuli; B. Peyara; G. Lal jamphad; P. Amrud; A. Madhurium; Kash. Amrodh; S. Peruka; N. Aamba; M. Bilaiti pungton; Kh. Soh pyriam.","vegetarian eggetarian fishetarian veg"
"Jack fruit, ripe","Artocarpus heterophyllus","A. Kothal; B. Kanthal; E. Jakfruit, Jak; G. Phanas; H. Kathal; Kan. Halasu; Kh. Soh phan; Mal. Chakka; M. Theibong; Mar. Phanas; N. Katahar; O. Panasa; P. Kathal; Kash. Bindu; S. Panasa; Tam. Palapazham; Tel. Panasa; U. Kathahal.","vegetarian eggetarian fishetarian veg"
"Jambu fruit, ripe","Syzygium cumini","A. Jamu; B. Jaamrool; E. Java apple, Semarang rose apple, Wax jambu; H. Jamun; Kan. Neralai; Mal. Naval pazham; Mar. Jambhool; O. Jamukoli; P. Jamun; Tam. Nagapazham; Tel. Neredupandu.","vegetarian eggetarian fishetarian veg"
"Karonda fruit","Carissa carandas","A. Korja tenga; B. Koromcha; G. Karamda; H. Balalak, dindimi; Kan. Karekayi; Mar. Karvand; Mal. Karakka; O. Sushena; P. Karonda; S. Karamazda; Tam. Kalakkay/ Parungala; Tel. Kalive.","vegetarian eggetarian fishetarian veg"
"Lemon, juice","Citrus limon","H. Nimbhu; Tel. Nimapandu ; O. Kagaji limbu; B. Pati Lebu; G. Limbu; P. Nibu; U. Neembu; A. Nemu; Kash. Nyomb; S. Lehin; N. Kaagati; M. Champra Mahi; Kh. Soh jew.","vegetarian eggetarian fishetarian veg"
"Lime, sweet, pulp","Citrus limetta","H. Mosambi; Tel. Gaja nimma pandu; Tam. Kolinchi pazham; Kan. Gaja nimbe; Mar. Limbu goda; B. Mitha lebu; G. Mosambi; A. Mosumi; Kash. Mosambi; P. Mosami; Kh. Soh balensha.","vegetarian eggetarian fishetarian veg"
"Litchi","Nephelium litchi","A. Lichu; B. Lichu; E. Lychee; G. Lichi; H. Lichi; Kash. Lichi; Kh. Soh manir; Mal. Lichi; M. Lichu; Mar. Lichi; N. Lichi; O. Letchu; P. Lichi; Tam. Lichi; Tel. Lichi; Kan. Lichi; U. Lichi.","vegetarian eggetarian fishetarian veg"
"Mango, ripe, banganapalli","Mangifera indica","A. Aam; B. Aam(paka); G. Keri; H. Aam (paka); Kan. Mvina hannu; Kash. Aamb; Kh. Soh pieng; Mal. Mam pazham; M. Heinou Amunba; Mar. Amba (piklela); N. Ampa; O. Amba (pachila); P. Aam; S. Aamra; Tam. Mampazham; Tel. Mamidi pandu; U. Pakka aam.","vegetarian eggetarian fishetarian veg"
"Mango, ripe, gulabkhas","Mangifera indica","A. Aam; B. Aam (paka); G. Pakeli Kedi; H. Aam (paka); Kan. Mvina hannu; Kash. Aamb; Kh. Soh pieng; Mal. Mam pazham; M. Heinou Amunba; Mar. Amba (piklela); N. Ampa; O. Amba (pachila); P. Aam; S. Aamra; Tam. Mampazham; Tel. Mamidi pandu; U. Pakka aam.","vegetarian eggetarian fishetarian veg"
"Country hen, wing, with skin","","","nonveg"
"Mango, ripe, himsagar","Mangifera indica","A. Aam; B. Aam (paka); G. Keri; H. Aam (paka); Kan. Mvina hannu; Kash. Aamb; Kh. Soh pieng; Mal. Mam pazham; M. Heinou Amunba; Mar. Amba (piklela); N. Ampa; O. Amba (pachila); P. Aam; S. Aamra; Tam. Mampazham; Tel. Mamidi pandu; U. Pakka aam.","vegetarian eggetarian fishetarian veg"
"Mango, ripe, kesar","Mangifera indica","A. Aam; B. Aam (paka); G. Kesar kedi; H. Aam (paka); Kan. Mvina hannu; Kash. Aamb; Kh. Soh pieng; Mal. Mam pazham; M. Heinou Amunba; Mar. Amba (piklela); N. Ampa; O. Amba (pachila); P. Aam; S. Aamra; Tam. Mampazham; Tel. Mamidi pandu; U. Pakka aam.","vegetarian eggetarian fishetarian veg"
"Mango, ripe, neelam","Mangifera indica","A. Aam; B. Aam (paka); G. Nilam kedi; H. Aam (paka); Kan. Mvina hannu; Kash. Aamb; Kh. Soh pieng; Mal. Mam  pazham; M. Heinou Amunba; Mar. Amba (piklela); N. Ampa; O. Amba (pachila); P. Aam; S. Aamra; Tam. Mampazham; Tel. Mamidi pandu; U. Pakka aam.","vegetarian eggetarian fishetarian veg"
"Duck, meat, with skin","","","nonveg"
"Mango, ripe, paheri","Mangifera indica","A. Aam; B. Aam (paka); G. Keri; H. Aam (paka); Kan. Mvina hannu; Kash. Aamb; Kh. Soh pieng; Mal. Mam pazham; M. Heinou Amunba; Mar. Amba (piklela); N. Ampa; O. Amba (pachila); S. Aamra; Tam. Mampazham; Tel. Mamidi pandu; U. Pakka aam.","vegetarian eggetarian fishetarian veg"
"Mango, ripe, totapari","Mangifera indica","A. Aam; B. Aam (paka); G. Totapuri kedi; H. Aam (paka); Kan. Mvina hannu; Kash. Aamb; Kh. Soh pieng; Mal. Mam pazham; M. Heinou Amunba; Mar. Amba (piklela); N. Ampa; O. Amba (pachila); P. Aam; S. Aamra; Tel. Mamidi pandu; Tam. Mampazham; U. Pakka aam.","vegetarian eggetarian fishetarian veg"
"Mangosteen","Garcinia mangostana","E. Purple mangosteen; H. Mangustan; Mal. Kodam puli; Tam. Sulambali.","vegetarian eggetarian fishetarian veg"
"Manila tamarind","Pithecellobium dulce","B. Jilapi; G. Bakhai ambli/Vilayabi ambli; H. Ganga imli/ Jangal jalebi; Kan. Seema/ dora hunase; Kh. Soh kyntoi im; M. Mange; Mar. Vilayatichinch; P. Jangjalebi; Tam. Kodukkapuli; Tel. Seema chintakaya.","vegetarian eggetarian fishetarian veg"
"Musk melon, orange flesh","Cucumis melon","A. Siral; B. Kharamuja; E. Muskmelon; G. Kharbujo; H. Kharbooja; Kan. Kharbooja; Kash. Kherbuz; Mal. Mulam pazham; Mar. Kharbooja; O. Kharbooja; P. Kharbooja; S. Kharbuuja; Tam. Mulam pazham; Tel. Kharbooja; U. Kharbuz.","vegetarian eggetarian fishetarian veg"
"Musk melon, yellow flesh","Cucumis melon","A. Siral; B. Kharamuja; E. Muskmelon; G. Kharbujo (Pido); H. Kharbooja; Kan. Kharbooja; Kash. Kherbuz; Mal. Mulam pazham; Mar. Kharbooja; O. Kharbooja; P. Kharbooja; S. Kharbuuja; Tam. Mulam pazham; Tel. Kharbooja; U. Kharbuz.","vegetarian eggetarian fishetarian veg"
"Orange, pulp","Citrus aurantium","A. Komola; B. Kamala lebu; G. Santra; H. Santra; Kan. Kithilai; Kash. Sangtar; Kh. Soh niamtra; Mal. Madhura naranga; M. Komla; Mar. Santre; N. Suntala; O. Kamala; P. Santra; S. Naarangga; Tam. Saathukudi; Tel. Kamala padu; U. Santra.","vegetarian eggetarian fishetarian veg"
"Papaya, ripe","Carcia papaya","A. Amita; B. Pepe (paka); E. Papaw, Pawpaw; G. Papayu; H. Papita; Kan. Pappayi Hannu; Kash. Papita; Kh. Soh Kymphor; Kon. Papayi; Mal. Omakai; M. Awathabi amunba; Mar. Popai; N. Mewa; O. Amrutbhanda (Pachila); P. Papita; Tam. Pappali; Tel. Boppayi pandu; U. Papita.","vegetarian eggetarian fishetarian veg"
"Peach","Prunus communis","A. Ahom bogori; E. Nectarine; H. Aroo; Kash. Aer; Kh. Soh phareng; M. Chumbrei; P. Aroo.","vegetarian eggetarian fishetarian veg"
"Pear","Prunus persica","A. Naspoti; B. Nashpati; G. Nashpatino; H. Nashpati; Kan. Berikai; Kash. Tang; Kh. Soh phoh; Mal. Sabarjil; M. Naspati; Mar. Nashpati; N. Naspati; O. Nashpati; P. Nashpati; Tam. Berikkai; Tel. Berikaya; U. Nashpati.","vegetarian eggetarian fishetarian veg"
"Emu, meat, skinless","","","nonveg"
"Phalsa","Grewia asiatica","A. Pharaskol; B. Falsa; G. Falsa; H. Falsa; Kan. Phalsa hannu; Kh. Soh broi rit; Mal. Palisa; Mar. Falsa; O. Mirgichara; P. Falsa; Tam. Palisa; Tel. Falsa pandu; U. Falsa.","vegetarian eggetarian fishetarian veg"
"Pineapple","Ananas comosus","A. Ahnaros; B. Anarasa; G. Anenas; H. Ananas; Kan. Ananas; Kash. Punchitipul; Kh. Soh trun; Kon. Anas; Mal. Kayirha chakka; M. Kihom Ananas; O. Sapuri; P. Ananas; Tam. Annasi pazham; Tel. Anasa pandu; U. Ananas.","vegetarian eggetarian fishetarian veg"
"Plum","Prunus domestica","B. Alubokhara; H. Alubokhara; G. Aaddu; Kan. Onagida draakshi; Kash. Aeir; Kh. Soh plum dorris/ Norris; M. Heikha; P. Aloobhukhara; Tel. Alapagoda.","vegetarian eggetarian fishetarian veg"
"Guinea fowl, meat, with skin","","","nonveg"
"Pomegranate, maroon seeds","Punica granatum","A. dalim; B. Bedana; G. Dadam; H. Anar; Kan. Dalimbari; Kash. Daan; Kh. Soh pomegranate; Kon. Dalimb; Mal. Mathalam pazhham; M. Kamphoi; Mar. Dalimb; O. Dalimba; P. Anar; S. Daaddima; Tam. Madhulam pazham; Tel. Danimma pandu; U. Anaar.","vegetarian eggetarian fishetarian veg"
"Pummelo","Citrus maxima","A. Rabab tenga; B. Batabilembu; E. Pomelo; G. Papnuse; H. Chakotra; Kan. Chakkota; Kh. Soh bah; Mal. Bombilimas; M. Nobab; Mar. Papnus; O. Batapilembu; Tam. Bombilimas; Tel. Pampara panasa.","vegetarian eggetarian fishetarian veg"
"Raisins, dried, black","Vitis vinifera","A. kishmish; B. kishmish; E. Dried grape; G. Kadi Draksha; H. Kishmish; Kan. Drashi; Kash. kishmish; Kh. Kismis iong; Mal. Mundiringa (unakku); M. Kismis; Mar. kishmish; O. kishmish; P. Songi; Tam. Ular dhirachai; Tel. Endu draksha; U. kishmish.","vegetarian eggetarian fishetarian veg"
"Raisins, dried, golden","Vitis vinifera","A. Kishmish; B. Kishmish; E. Dried grape; G. Pidi Draksha; H. Kishmish; Kan. Drashi; Kash. Kishmish; Kh. Kismis saw; Kon. Suke dhrakshi; Mal. Mundiringa (unakku); M. Kismis; Mar. kishmish; N. Kismis; O. Kishmish ; P. Songi; Tam. Ular dhirachai; Tel. Endu draksha; U. Kishmish.","vegetarian eggetarian fishetarian veg"
"Rambutan","Nephelium lappaceum","H. Rambutan.","vegetarian eggetarian fishetarian veg"
"Sapota","Achras sapota","A. Chiku; E. Sapodilla; H. Chiku; Kan. Sapota; Mal. Sapota; Mar. Chiku; O. Sapota; P. Chiku; Tel. Sapota; U. Sapota.","vegetarian eggetarian fishetarian veg"
"Soursop","Annona muricata","H. Shul-ram fal; Kan. Lakshmanaphala/Mulluramphala; Mal. Mullatha; Tam. Malai seethapalam/ Paanghi pazham; Tel. Lakshamana phalamu.","vegetarian eggetarian fishetarian veg"
"Star fruit","Averrhoa carambola","A. Kordoi; E. Carambola, Starfruit; G. Amrakh; H. Kazmal/Kamrakh; Kan. Kamaraka/ Kapazakshi hannu; Kh. Soh pyrshong; Mal. Caturappuli; M. Heinoujom; Mar. Karambal; O. Karamanga; Tam. Tamarattai; U. Kamrakh.","vegetarian eggetarian fishetarian veg"
"Strawberry","Fragaria ananassa","G. strawberry; Kan. Nela milli hannu; Kh. Strawberry/ soh stap; Mal. Stroberry; P. Lachi; Kash. Istaber; Tam. Strawberry.","vegetarian eggetarian fishetarian veg"
"Tamarind, pulp","Tamarindus indicus","A. Teteli; B. Tetul; G. Amli; H. Imli; Kan. Hunise hannu; Kash. Tambari; Kh. Soh kyntoi; Mal. Puli; M. Mange; Mar. Chinch; N. Imali; O. Tentuli; P. Imli; S. Sucukrika; Tam. Puli; Tel. Chintha pandu; U. Imli.","vegetarian eggetarian fishetarian veg"
"Pigeon, meat, with skin","","","nonveg"
